area_group_id,schedule_group_id
group_1,burn_mon_thu
group_1,nonburn_1st_wed
group_1,can_1st_wed
group_1,bottle_1st_wed
group_1,large_burn_3rd_wed
group_1,petbottle_3rd_wed
group_1,plastic_1st_wed_and_3rd_wed
group_2,burn_tue_fri
group_2,nonburn_1st_wed
group_2,can_1st_wed
group_2,bottle_1st_wed
group_2,large_burn_3rd_wed
group_2,petbottle_3rd_wed
group_2,plastic_1st_wed_and_3rd_wed
group_3,burn_mon_thu
group_3,nonburn_2nd_wed
group_3,can_2nd_wed
group_3,bottle_2nd_wed
group_3,large_burn_4th_wed
group_3,petbottle_4th_wed
group_3,plastic_2nd_wed_and_4th_wed
group_4,burn_tue_fri
group_4,nonburn_2nd_wed
group_4,can_2nd_wed
group_4,bottle_2nd_wed
group_4,large_burn_4th_wed
group_4,petbottle_4th_wed
group_4,plastic_2nd_wed_and_4th_wed
